bc0_seed,bc1_seed,mean_reward,std_reward
seed_0,seed_0,36.00,32.00
seed_0,seed_1,20.00,17.89
seed_0,seed_2,44.00,29.39
seed_0,seed_3,36.00,36.66
seed_0,seed_4,28.00,27.13
seed_1,seed_0,44.00,29.39
seed_1,seed_1,36.00,23.32
seed_1,seed_2,64.00,29.39
seed_1,seed_3,48.00,16.00
seed_1,seed_4,44.00,23.32
seed_2,seed_0,48.00,20.40
seed_2,seed_1,56.00,8.00
seed_2,seed_2,48.00,9.80
seed_2,seed_3,52.00,29.93
seed_2,seed_4,60.00,21.91
seed_3,seed_0,48.00,27.13
seed_3,seed_1,84.00,23.32
seed_3,seed_2,44.00,14.97
seed_3,seed_3,48.00,24.00
seed_3,seed_4,84.00,23.32
seed_4,seed_0,56.00,34.41
seed_4,seed_1,60.00,25.30
seed_4,seed_2,32.00,20.40
seed_4,seed_3,32.00,27.13
seed_4,seed_4,44.00,34.41
