bc_pos,bc_seed,rl_seed,mean_reward,std_reward
0,0,0,24.00,19.60
0,0,1,32.00,20.40
0,0,2,28.00,20.40
0,0,3,24.00,23.32
0,0,4,12.00,9.80
0,0,5,20.00,17.89
0,0,6,20.00,12.65
0,0,7,28.00,9.80
0,0,8,4.00,8.00
0,0,9,8.00,16.00
0,1,0,20.00,0.00
0,1,1,28.00,16.00
0,1,2,16.00,8.00
0,1,3,16.00,8.00
0,1,4,16.00,14.97
0,1,5,12.00,9.80
0,1,6,20.00,17.89
0,1,7,16.00,14.97
0,1,8,20.00,12.65
0,1,9,4.00,8.00
0,2,0,28.00,9.80
0,2,1,12.00,9.80
0,2,2,4.00,8.00
0,2,3,16.00,8.00
0,2,4,12.00,16.00
0,2,5,16.00,23.32
0,2,6,16.00,14.97
0,2,7,8.00,9.80
0,2,8,12.00,9.80
0,2,9,16.00,8.00
0,3,0,36.00,29.39
0,3,1,4.00,8.00
0,3,2,44.00,14.97
0,3,3,28.00,16.00
0,3,4,4.00,8.00
0,3,5,4.00,8.00
0,3,6,0.00,0.00
0,3,7,24.00,14.97
0,3,8,12.00,16.00
0,3,9,12.00,16.00
0,4,0,44.00,32.00
0,4,1,24.00,23.32
0,4,2,32.00,24.00
0,4,3,16.00,8.00
0,4,4,12.00,16.00
0,4,5,8.00,9.80
0,4,6,4.00,8.00
0,4,7,8.00,9.80
0,4,8,4.00,8.00
0,4,9,16.00,8.00
1,0,0,36.00,26.53
1,0,1,28.00,16.00
1,0,2,28.00,24.00
1,0,3,32.00,16.00
1,0,4,32.00,27.13
1,0,5,24.00,23.32
1,0,6,16.00,8.00
1,0,7,4.00,8.00
1,0,8,12.00,9.80
1,0,9,20.00,17.89
1,1,0,28.00,9.80
1,1,1,8.00,16.00
1,1,2,12.00,9.80
1,1,3,20.00,12.65
1,1,4,20.00,12.65
1,1,5,28.00,16.00
1,1,6,32.00,24.00
1,1,7,12.00,16.00
1,1,8,12.00,9.80
1,1,9,28.00,16.00
1,2,0,44.00,23.32
1,2,1,20.00,25.30
1,2,2,8.00,9.80
1,2,3,16.00,8.00
1,2,4,24.00,8.00
1,2,5,28.00,39.19
1,2,6,20.00,25.30
1,2,7,8.00,9.80
1,2,8,12.00,9.80
1,2,9,8.00,9.80
1,3,0,32.00,9.80
1,3,1,20.00,17.89
1,3,2,24.00,14.97
1,3,3,12.00,9.80
1,3,4,16.00,14.97
1,3,5,12.00,24.00
1,3,6,20.00,17.89
1,3,7,8.00,9.80
1,3,8,4.00,8.00
1,3,9,12.00,16.00
1,4,0,36.00,32.00
1,4,1,24.00,19.60
1,4,2,28.00,16.00
1,4,3,12.00,9.80
1,4,4,44.00,8.00
1,4,5,40.00,17.89
1,4,6,20.00,17.89
1,4,7,16.00,8.00
1,4,8,40.00,25.30
1,4,9,8.00,16.00
